,DBA Name,Zip,n_failed,n_pwc,n_inspections,n_passed,most_recent_inspection,Chains,recent_pass,recent_pwc,recent_fail
0,"""c"" a catering and event company",60634.0,1,0,10,7,2019-04-05,1,1.0,0.0,0.0
1,"""luna empanada shop""",60634.0,0,1,1,0,2020-01-14,1,0.0,1.0,0.0
3,#1 chop suey,60641.0,4,2,19,13,2020-01-24,1,0.0,0.0,1.0
4,"#1 chop suey restaurant, inc",60649.0,0,0,0,0,2019-10-22,1,1.0,0.0,0.0
5,1 2 3 express,60608.0,1,0,2,1,2011-11-23,1,1.0,0.0,0.0
6,1 fish 2 fish,60615.0,0,2,2,0,2019-09-12,1,1.0,0.0,0.0
7,1 n wacker kitchen and bar,60606.0,2,0,4,2,2019-10-04,1,0.0,1.0,0.0
8,"1,4,3,7 soul restaurant",60628.0,0,1,1,0,2019-09-12,1,0.0,1.0,0.0
9,1-94 ribs & grill,60609.0,1,1,4,2,2019-11-05,1,0.0,1.0,0.0
10,10 pin  bowling lounge,60610.0,2,3,8,3,2019-05-20,1,0.0,1.0,0.0
11,1000 liquors / big city tap,60657.0,2,5,11,4,2019-11-07,1,0.0,1.0,0.0
12,10q chicken,60604.0,0,0,0,0,2020-01-21,1,0.0,1.0,0.0
13,11 degrees north,60657.0,2,1,6,2,2019-08-19,1,0.0,1.0,0.0
14,11 dining,60602.0,0,1,2,1,2018-11-05,3,0.0,1.0,0.0
15,11 dining,60606.0,0,1,2,0,2019-07-26,3,1.0,0.0,0.0
16,11 dining,60612.0,1,0,3,2,2019-06-07,3,1.0,0.0,0.0
17,"11 dining,  llc",60603.0,0,1,4,3,2019-01-03,1,1.0,0.0,0.0
18,"11 dining, llc",60605.0,4,0,8,3,2019-11-27,3,1.0,0.0,0.0
19,"11 dining, llc",60606.0,0,0,3,2,2018-09-18,3,1.0,0.0,0.0
20,"11 dining, llc",60607.0,1,2,4,1,2019-10-18,3,0.0,1.0,0.0
21,"11 dining,llc",60631.0,0,0,1,0,2019-05-24,1,0.0,1.0,0.0
22,11 dinning,60611.0,0,0,2,2,2019-10-04,1,0.0,1.0,0.0
23,111 coffee bar,60643.0,1,0,3,0,2019-04-18,1,0.0,1.0,0.0
24,111th street otb,60628.0,2,1,7,4,2016-11-02,1,1.0,0.0,0.0
25,"1234 bbq ribs inc.,",60642.0,1,0,3,2,2012-04-27,1,0.0,0.0,1.0
26,1250 south llc,60605.0,1,0,1,0,2013-08-21,1,1.0,0.0,0.0
27,13 pins tapas & grill,60641.0,0,0,0,0,2011-01-13,1,1.0,0.0,0.0
28,14 parish,60616.0,3,2,8,3,2019-06-05,1,0.0,1.0,0.0
29,"14 w. hubbard, llc",60654.0,0,0,0,0,2013-05-07,1,1.0,0.0,0.0
30,1492 cuban fusion inc,60647.0,2,3,7,2,2019-08-01,1,0.0,1.0,0.0
31,15 / 20 lounge,60616.0,2,0,3,1,2016-03-10,1,1.0,0.0,0.0
