FileName,Well,Sample Description,Size [bp],Calibrated Conc. [pg/µl],Assigned Conc. [pg/µl],Peak Molarity [pmol/l],% Integrated Area,Peak Comment,Observations
2019-12-18 - 11.45.28.HSD1000,EL1,Electronic Ladder,25,340,,20900,,,Lower Marker
2019-12-18 - 11.45.28.HSD1000,EL1,Electronic Ladder,50,265,,8160,11.28,,
2019-12-18 - 11.45.28.HSD1000,EL1,Electronic Ladder,100,278,,4270,11.82,,
2019-12-18 - 11.45.28.HSD1000,EL1,Electronic Ladder,200,290,,2230,12.32,,
2019-12-18 - 11.45.28.HSD1000,EL1,Electronic Ladder,300,304,,1560,12.95,,
2019-12-18 - 11.45.28.HSD1000,EL1,Electronic Ladder,400,306,,1180,13.00,,
2019-12-18 - 11.45.28.HSD1000,EL1,Electronic Ladder,500,312,,961,13.29,,
2019-12-18 - 11.45.28.HSD1000,EL1,Electronic Ladder,700,286,,629,12.19,,
2019-12-18 - 11.45.28.HSD1000,EL1,Electronic Ladder,1000,309,,476,13.15,,
2019-12-18 - 11.45.28.HSD1000,EL1,Electronic Ladder,1500,250,250,256,,,Upper Marker
2019-12-18 - 11.45.28.HSD1000,A1,,25,365,,22500,,,Lower Marker
2019-12-18 - 11.45.28.HSD1000,A1,,307,13600,,68000,100.00,,
2019-12-18 - 11.45.28.HSD1000,A1,,1500,250,250,256,,,Upper Marker
2019-12-18 - 11.45.28.HSD1000,B1,,25,411,,25300,,,Lower Marker
2019-12-18 - 11.45.28.HSD1000,B1,,323,7060,,33700,100.00,,
2019-12-18 - 11.45.28.HSD1000,B1,,1500,250,250,256,,,Upper Marker
2019-12-18 - 11.45.28.HSD1000,C1,,25,469,,28800,,,Lower Marker
2019-12-18 - 11.45.28.HSD1000,C1,,319,1210,,5860,100.00,,
2019-12-18 - 11.45.28.HSD1000,C1,,1500,250,250,256,,,Upper Marker
2019-12-18 - 11.45.28.HSD1000,D1,,25,431,,26500,,,Lower Marker
2019-12-18 - 11.45.28.HSD1000,D1,,320,12500,,60100,100.00,,
