FileName,WellId,Sample Description,From [bp],To [bp],Average Size [bp],Conc. [pg/µl],Region Molarity [pmol/l],% of Total,Region Comment
2019-12-18 - 11.45.28.HSD1000,A1,,100,1000,382,18000,78100,99.50,
2019-12-18 - 11.45.28.HSD1000,B1,,100,1000,383,13500,58400,98.10,
2019-12-18 - 11.45.28.HSD1000,C1,,100,1000,372,2260,10000,96.82,
2019-12-18 - 11.45.28.HSD1000,D1,,100,1000,382,16000,68900,98.68,
2019-12-18 - 11.45.28.HSD1000,E1,,100,1000,384,13200,56900,98.93,
2019-12-18 - 11.45.28.HSD1000,F1,,100,1000,377,13800,60300,98.75,
2019-12-18 - 11.45.28.HSD1000,G1,,100,1000,382,10500,44800,99.01,
2019-12-18 - 11.45.28.HSD1000,H1,,100,1000,375,14200,62600,98.95,
2019-12-18 - 11.45.28.HSD1000,A2,,100,1000,392,16800,71000,98.52,
2019-12-18 - 11.45.28.HSD1000,B2,,100,1000,389,15600,66200,98.56,
2019-12-18 - 11.45.28.HSD1000,C2,,100,1000,384,11300,48300,98.49,
2019-12-18 - 11.45.28.HSD1000,D2,,100,1000,379,16700,72500,98.77,
2019-12-18 - 11.45.28.HSD1000,E2,,100,1000,383,11500,49500,98.53,
2019-12-18 - 11.45.28.HSD1000,F2,,100,1000,370,18800,83100,97.90,
2019-12-18 - 11.45.28.HSD1000,G2,,100,1000,370,11300,50000,98.95,
2019-12-18 - 11.45.28.HSD1000,H2,,100,1000,367,15000,67500,98.70,
2019-12-18 - 11.45.28.HSD1000,A3,,100,1000,378,13800,60300,99.14,
2019-12-18 - 11.45.28.HSD1000,B3,,100,1000,380,11900,52000,98.32,
2019-12-18 - 11.45.28.HSD1000,C3,,100,1000,385,11600,49900,98.92,
2019-12-18 - 11.45.28.HSD1000,D3,,100,1000,375,12600,55100,99.13,
2019-12-18 - 11.45.28.HSD1000,E3,,100,1000,375,14000,61100,98.89,
2019-12-18 - 11.45.28.HSD1000,F3,,100,1000,374,10800,47500,98.86,
2019-12-18 - 11.45.28.HSD1000,G3,,100,1000,366,13600,61100,99.07,
2019-12-18 - 11.45.28.HSD1000,H3,,100,1000,370,15000,66800,99.24,
2019-12-18 - 11.45.28.HSD1000,A4,,100,1000,384,12600,54400,98.32,
2019-12-18 - 11.45.28.HSD1000,B4,,100,1000,385,6680,28600,97.70,
2019-12-18 - 11.45.28.HSD1000,C4,,100,1000,380,9090,39200,98.46,
2019-12-18 - 11.45.28.HSD1000,D4,,100,1000,373,12400,54500,98.58,
2019-12-18 - 11.45.28.HSD1000,E4,,100,1000,375,12200,53200,98.76,
2019-12-18 - 11.45.28.HSD1000,F4,,100,1000,370,11500,50700,98.52,
2019-12-18 - 11.45.28.HSD1000,G4,,100,1000,360,12100,55100,99.20,
2019-12-18 - 11.45.28.HSD1000,H4,,100,1000,351,1720,8080,95.29,
2019-12-18 - 11.45.28.HSD1000,A5,,100,1000,377,13900,61500,99.21,
2019-12-18 - 11.45.28.HSD1000,B5,,100,1000,378,14800,65500,98.26,
2019-12-18 - 11.45.28.HSD1000,C5,,100,1000,385,13400,57500,98.97,
2019-12-18 - 11.45.28.HSD1000,D5,,100,1000,377,12100,52600,98.63,
2019-12-18 - 11.45.28.HSD1000,E5,,100,1000,363,13300,61300,99.86,
2019-12-18 - 11.45.28.HSD1000,F5,,100,1000,370,10300,45900,98.54,
2019-12-18 - 11.45.28.HSD1000,G5,,100,1000,365,13200,60100,99.48,
2019-12-18 - 11.45.28.HSD1000,H5,,100,1000,363,15700,71400,99.08,
2019-12-18 - 11.45.28.HSD1000,A6,,100,1000,374,11900,52500,98.57,
2019-12-18 - 11.45.28.HSD1000,B6,,100,1000,376,18300,81000,98.53,
2019-12-18 - 11.45.28.HSD1000,C6,,100,1000,372,14200,63300,99.12,
2019-12-18 - 11.45.28.HSD1000,D6,,100,1000,376,12500,54600,98.94,
2019-12-18 - 11.45.28.HSD1000,E6,,100,1000,364,11300,51000,99.22,
2019-12-18 - 11.45.28.HSD1000,F6,,100,1000,368,8310,37200,98.64,
2019-12-18 - 11.45.28.HSD1000,G6,,100,1000,361,9090,41600,99.00,
2019-12-18 - 11.45.28.HSD1000,H6,,100,1000,356,13100,60600,99.31,
2019-12-18 - 11.45.28.HSD1000,A7,,100,1000,381,13200,57500,99.33,
2019-12-18 - 11.45.28.HSD1000,B7,,100,1000,378,15300,67400,98.88,
2019-12-18 - 11.45.28.HSD1000,C7,,100,1000,387,11300,48200,98.92,
2019-12-18 - 11.45.28.HSD1000,D7,,100,1000,370,12300,54500,98.97,
2019-12-18 - 11.45.28.HSD1000,F7,,100,1000,361,14200,64900,99.59,
2019-12-18 - 11.45.28.HSD1000,G7,,100,1000,354,12600,58000,99.27,
2019-12-18 - 11.45.28.HSD1000,H7,,100,1000,354,11600,54000,99.20,
2019-12-18 - 11.45.28.HSD1000,A8,,100,1000,372,14400,64400,98.74,
2019-12-18 - 11.45.28.HSD1000,B8,,100,1000,374,14400,63500,98.87,
2019-12-18 - 11.45.28.HSD1000,C8,,100,1000,374,11900,52200,98.99,
2019-12-18 - 11.45.28.HSD1000,D8,,100,1000,374,11400,50500,98.90,
2019-12-18 - 11.45.28.HSD1000,E8,,100,1000,359,12800,58400,99.06,
2019-12-18 - 11.45.28.HSD1000,F8,,100,1000,358,13000,59800,98.67,
2019-12-18 - 11.45.28.HSD1000,G8,,100,1000,353,10200,47300,99.10,
2019-12-18 - 11.45.28.HSD1000,H8,,100,1000,355,8410,39500,99.42,
2019-12-18 - 11.45.28.HSD1000,A9,,100,1000,370,11100,50200,98.90,
2019-12-18 - 11.45.28.HSD1000,B9,,100,1000,371,13300,60000,98.90,
2019-12-18 - 11.45.28.HSD1000,C9,,100,1000,373,13200,58900,99.52,
2019-12-18 - 11.45.28.HSD1000,D9,,100,1000,364,11600,52800,99.31,
2019-12-18 - 11.45.28.HSD1000,E9,,100,1000,354,11300,52500,98.87,
2019-12-18 - 11.45.28.HSD1000,F9,,100,1000,360,10400,47500,98.91,
2019-12-18 - 11.45.28.HSD1000,G9,,100,1000,351,8310,39200,98.81,
2019-12-18 - 11.45.28.HSD1000,H9,,100,1000,347,14700,70900,99.19,
2019-12-18 - 11.45.28.HSD1000,A10,,100,1000,380,13400,58600,98.70,
2019-12-18 - 11.45.28.HSD1000,B10,,100,1000,373,12900,57500,99.05,
2019-12-18 - 11.45.28.HSD1000,C10,,100,1000,373,11600,51300,98.98,
2019-12-18 - 11.45.28.HSD1000,D10,,100,1000,359,11600,54000,99.71,
2019-12-18 - 11.45.28.HSD1000,E10,,100,1000,361,9480,43500,98.76,
2019-12-18 - 11.45.28.HSD1000,F10,,100,1000,350,11400,53600,99.07,
2019-12-18 - 11.45.28.HSD1000,G10,,100,1000,356,4000,18600,98.44,
2019-12-18 - 11.45.28.HSD1000,H10,,100,1000,345,4520,21700,98.55,
2019-12-18 - 11.45.28.HSD1000,A11,,100,1000,360,9890,45900,99.19,
2019-12-18 - 11.45.28.HSD1000,B11,,100,1000,370,11500,51900,98.53,
2019-12-18 - 11.45.28.HSD1000,C11,,100,1000,362,7980,36600,99.27,
2019-12-18 - 11.45.28.HSD1000,D11,,100,1000,356,10100,46900,99.08,
2019-12-18 - 11.45.28.HSD1000,E11,,100,1000,348,8080,38500,99.18,
2019-12-18 - 11.45.28.HSD1000,F11,,100,1000,346,11500,55300,99.32,
2019-12-18 - 11.45.28.HSD1000,G11,,100,1000,343,10900,52100,99.32,
2019-12-18 - 11.45.28.HSD1000,H11,,100,1000,338,9440,46000,99.19,
2019-12-18 - 11.45.28.HSD1000,A12,,100,1000,366,8890,40700,98.72,
2019-12-18 - 11.45.28.HSD1000,B12,,100,1000,388,7760,33700,97.92,
2019-12-18 - 11.45.28.HSD1000,C12,,100,1000,361,10600,48500,99.16,
2019-12-18 - 11.45.28.HSD1000,D12,,100,1000,362,11700,53600,99.07,
2019-12-18 - 11.45.28.HSD1000,E12,,100,1000,353,9200,43200,99.04,
2019-12-18 - 11.45.28.HSD1000,F12,,100,1000,351,12800,60200,99.11,
2019-12-18 - 11.45.28.HSD1000,G12,,100,1000,374,8440,37600,98.88,
2019-12-18 - 11.45.28.HSD1000,H12,,100,1000,362,4440,20400,98.44,
